thermax,थरमैक्स,थर्मैक्स
scootaron,स्कूटरों,स्कोटरों
ardhavishvas,अर्धविश्वास,अर्धविष्यास
daramyaanee,दरम्यानी,दराम्याने
survanaa,सुर्वणा,सूरवाणा
sthitiyan,स्थितियां,स्थितियां
dharmaanand,धर्मानंद,धर्माणन्द
sofner,सॉफ़्नर,सोफरन
squash,स्क्वैश,स्क्सह
vidhansabhaen,विधानसभाएं,विधासंभाएँ
randolph,रैंडोल्फ,रण्डलोफ
mezbaan,मेज़बान,मेजबान
sprit,स्प्रिट,स्प्रित
sheelabhang,शीलभंग,शीलभंग
kalmein,कलमें,कालमें
swarnikaa,स्वर्णिका,स्वरनिका
mandi,मंडी,मण्दी
arthawyavasthataaon,अर्थव्यवस्थताओं,अर्थ्यवस्थाताओं
kundaliya,कुंडलियाँ,कुंडलिया
nimkathana,नीमकाथाना,निमकथाना
farm,फाॅर्म,फरम
hatyaaropit,हत्यारोपित,हत्यारोपित
putta,पुट्टा,पुत्ता
faurensis,फारेंसिस,फारेंसिस
purooshottamachary,पुरूषोत्तमाचार्य,पुरूषोत्तमार्य
bonds,बॉंन्ड्स,बोंद
shikaayatkartaa,शिकायतकर्ता,शिकायतकर्ता
cronfrencing,क्रान्फ्रेंसिंग,क्रोन्फ्रेंसिंग
ubal,उबाल,उबल
baabaao,बाबाओ,बाबाओ
halmatpura,हलमतपुरा,हलमाटपुरा
haqeeqat,हकीकत,हकीक़्त
barman,बर्मन,बार्मन
vartmaan,वर्तमान,वर्टमैन
baantin,बांटीं,बांतिन
achanbha,अचंभा,अचनभा
jiwanparyant,जीवनपर्यंत,जिवापनर्यांत
wadara,वदरा,वाडारा
sadaqen,सडक़ें,सदकेन
aisa,एेसा,एएसए
jyotishyshastron,ज्योतिष्यशास्त्रों,ज्योतिशास्त्रों
pythagoras,पाइथागोरस,पिथागोरस
engelin,एंजेलिन,एंजेलिन
kapolkalpana,कपोलकल्पना,कापोलकल्पना
dropadiyon,द्रोपदियों,द्रोपडियों
rozlyn,रोजलिन,रोज़ली
sriram,श्रीराम,श्रीराम
gopaalak,गोपालक,गोपालक
bangbandhu,बंगबंधु,बंगबन्धू
mistriyan,मिस्त्रियां,मिस्त्रियां
usay,उसेे,उसय
mercado,मर्काडो,मरकाडो
maisore,मैसोर,मैसोर
offshor,ऑफशोर,ओफ्सफोर
kapurthala,कपूरथला,कपूर्थला
sahovaliya,साहोवालिया,सहोवलिया
maladahiya,मलदहिया,मलाधियाय
hymen,हाइमन,हाइमन
indaurnagar,इंदौरनगर,इंदौरनगर
visheshagyataon,विशेषज्ञताओं,विशेषाग्यताओं
usaki,उसकी,उसकी
caplin,कैपलिन,कैप्लिन
mahapran,महाप्राण,महाप्रण
rupesh,रुपेश,रूपेश
reno,रिनो,रेनो
sudeepton,सुदीप्तों,सुदीप्तों
swamy,स्वामी,स्वामी
amara,अमारा,अमरा
vyavasthaamoolak,व्यवस्थामूलक,व्यवस्थामूलक
sensing,सेंसिंग,सेंसिंग
tyler,टाइलर,टायर
sangareddi,संगारेड्डी,संगरेदी
pehno,पहनो,पहनो
mardani,मरदानी,मर्दनी
bamleshwaree,बम्लेश्वरी,बमलेश्वरे
deewani,दिवानी,दीवानी
fincorp,फिनकॉर्प,फिनकॉर्प
navaa,नवा,नवा
shimat,शिमट,शीमट
sohawal,सोहावल,सोहावल
banaam,बनाम,बनम
prawrutriyon,प्रवृत्रियों,प्रावर्तियों
xiong,शियोंग,सिंग
varsted,वर्स्टेड,वारस्टेड
raajon,राजों,राजों
cheekhana,चीखना,चीखाना
naimul,नैमुल,नैमूल
badhotri,बढ़ोतरी,बढोरती
antony,एंटोनी,एंटोनी
chhanyasa,छांयसा,छन्यासा
nirdeshikaa,निर्देशिका,निर्देशिका
niptaaraa,निपटारा,निप्तरा
judne,जुडने,जुडन
sujhati,सुझाती,सुझाती
pathalogist,पैथेलॉजिस्ट,पथालॉजिस्ट
tide,टाइड,तिदे
shrungar,शृंगार,श्रुंगर
braandes,ब्रान्डेस,ब्रांडेस
parmeshvarpur,परमेश्वरपुर,परमेश्वरप्रूत
jedateeisaaft,जेडटीईसाफ्ट,जेडिटिक्स
uddhaatan,उद्धाटन,उद्धतान
stan,स्टैन,स्टैन
aadivaadiyon,आदिवादियों,आदिवादियों
julaahon,जुलाहों,जुलाहों
maharaja,महाराजा,महराजा
gatishilata,गतिशीलता,गतिशालता
shipra,शिप्रा,शिप्रा
tribunal,ट्रिब्युनल,त्रिबुनल
khyber,ख़ैबर,खायबर
wanvibhag,वनविभाग,वनविभाग
ghataatop,घटाटोप,घटाटोप
dharmagranthon,धर्मग्रंथों,धर्मग्रन्थों
prawrittiyon,प्रवृत्तीयों,प्रवृत्तियों
gaanth,गांठ,गाँथ
mysore,मैसोर,माइसोर
sehgal,सहगल,सहगल
namkin,नमकीन,नामकिन
vaidh,वैध्,वैध
vanaspatiyaan,वनस्पतियाँ,वनस्पतियां
jiangkou,जियांगकोऊ,जियांगको
pakhandi,पाखंडी,पखंडी
protekts,प्रोटेक्ट्स,प्रॉटक्ट्स
elbaino,एल्बाइनो,एलबैनो
linden,लिंडेन,लिंडेन
sohaval,सोहावल,सोहावल
bhurbhura,भुरभुरा,भुरभूरा
gastrology,गैस्ट्रोलॉजी,गास्ट्रोलॉजी
widroop,विद्रूप,विडरप
sajsajja,साजसज्जा,सजसजा
raatrichar,रात्रिचर,रात्रिचर
rojana,रोजना,रोजना
jalbhrav,जलभराव,जलभ्रव
montgomery,मोंटगोमरी,मोंटमोरी
sev,सेव,सेव
bhrastrachariyon,भ्रष्ट्राचारियों,भ्रस्त्राचिर्यों
dwn,डीडब्ल्यूएन,डीएन
streshan,स्ट्रेशन,स्त्रेशन
ganthe,गांठे,गांथे
gehlot,गहलोत,गहलोट
chhateni,छतेनी,छटेनी
vishwasniiya,विश्वसनीय,विश्वासनीय
jivaniyan,जीवनियां,जिवानियां
dastaanen,दस्तानें,दस्तानें
dhona,धोना,धोना
kharuwaar,खरुवार,खरुवार
suriname,सूरीनाम,सुरिनामे
mangalsinh,मंगलसिंह,मंगलसिंह
anyonyashritta,अन्योन्याश्रितता,अन्योनिष्ट्राय
ninties,नाइनटीज,निटियस
paancholaas,पांचोलास,पाँचोलास
reson,रेसों,रिसन
vaataanukooliton,वातानुकूलितों,वातानोक्तों
chatushkoniya,चतुष्कोणीय,चतुष्कोनिया
aamdi,आमदी,आमड़ी
dushtaapurvak,दुष्टतापूर्वक,दुष्टापूर्वक
bechate,बेचते,बेचाते
chuka,चौका,चुका
mizoram,मिज़ोरम,मिज़ोराम
torrance,टोरेंस,टॉर्सन
anuchit,अनुचित,अनुचित
avarodhak,अवरोधक,अवरोधक
ross,रॉस,ओसओएस
achyut,अच्युत,अच्युत
oodhami,ऊधामी,ऊढ़मी
haraval,हरावल,हरवल
gould,गोल्ड,गौल्ड
daaw,दाव,दाव
srijanvigyanee,सृजनविज्ञानी,श्रीजनविज्ञाने
nextgen,नेक्स्टजेन,नेक्सटेन
rukavaton,रूकावटों,रुकवतों
bhavanaon,भावनाओं,भवनाओं
dehdhaari,देहधारी,देहधारी
parikhaen,परीक्षाएं,परखेन
utaney,उतने,यूटेनी
sanskrition,संस्कृतिओं,संस्कृषें
prospex,प्रॉस्पेक्स,प्रॉस्पेक्स
naeedilli,नईदिल्ली,नैदिली
saayn,सायं,सायन
geneva,जिनीवा,जेनेवा
rasad,रसद,रसद
baramula,बारामुला,बारामूला
vandemataram,वन्देमातरम्,वन्देमार्तम
safari,सफारी,सफरी
chamba,चम्बा,चाम्बा
sawal,सवाल,सवाल
bannari,बन्नारी,बन्राई
fatehpur,फ़तेहपुर,फतेहपुर
pehnate,पहनता,पहनेट
spray,स्प्रे,स्प्रेय
normal,नॉर्मल,नोरमल
allout,ऑलआउट,एलॉयट
manassas,मनासस,मनस्साव
mantriyonke,मंत्रियोंके,मंत्रियोंके
karyakaryakartaon,कार्यकार्यकर्ताओं,कार्यकर्ताओं
phaadanhe,फाडऩे,फादानेही
greg,ग्रेग,ग्रेग
baitool,बैतूल,बैटूल
kushan,कुषाण,कुशन
subbanee,सुब्बनी,सब्बनी
infibeam,इन्फिबीम,इंफिएम
khatakhataakar,खटखटाकर,खटखताकर
chachaji,चाचाजी,चचाजी
chandrabali,चंद्रबली,चंद्राबली
baripada,बारिपदा,बरीपदा
roohelkhand,रूहेलखंड,रूहेलखण्ड
ghairakaanoonee,ग़ैरकानूनी,घैरकानूने
aarekhah,आरेखः,आरेखाह
pramukhkarmiyon,प्रमुखकर्मियों,प्रमुखकर्मिकों
lee,ली,ली
thiyeters,थियेटर्स,थियेटर्स
assam,असम,एएसएएएएम
faanon,फानों,फ़नों
jyada,ज़्यादा,ज्यादा
theateron,थियेटरों,थीटरों
safaikarmi,सफाईकर्मी,सफैकर्मी
bieseses,बीएसएसएस,बिसेस
cronfrensing,क्रान्फ्रेंसिंग,क्रोन्फ्रेंसिस
jeevraaj,जीवराज,जीवराज
thirake,थिरके,थिरके
shaksubahey,शकसुबहे,शकसुभाये
paratrooper,पैराट्रूपर,परत्रोपर
dabhara,डभरा,दाभर
usi,उसी,उसी
nihsandeh,निःसंदेह,निहसंधे
mahanatam,महानतम,महानतम
banthia,बांठिया,बांठिया
anam,अनम,अनम
kashmir,कश्मीर,काशमिर
baavadee,बावडी,बावड़ी
bhutto,भुट्टो,भट्टो
maarake,मारके,मारके
kaaryayojna,कार्ययोजना,कार्योजना
francisko,फ्रांसिस्को,फ्रैंसिको
adani,अदाणी,अदानी
dhuriyaa,धुरिया,धुरिया
mhavidya,महाविद्या,महाविद्या
megapixel,मेगापिक्सल,मेगापिक्सल
cryptocurrencyon,क्रिप्टोकरेंसियों,क्रिप्टोक्रोनिक
muth,मूठ,मुथ
authoritee,ऑथोरिटी,ऑथोरिटी
aparivartanshil,अपरिवर्तनशील,अपरिवर्तशिल्लां
pradhanmantriki,प्रधानमंत्रीकी,प्रधानमंत्रिकी
aagaashe,आगाशे,आगाशे
navjaagaran,नवजागरण,नवजागरण
attraa,अट्टरा,एट्ट्रा
ubala,उबाला,उबला
amanati,अमानती,अमनती
khammam,खम्मम,खमम
haaranaa,हारना,हारणा
bhavabhivyaktiyon,भावाभिव्यक्तियों,भावभिव्यक्तियों
pushkar,पुष्कर,पुष्कर
shaantiyon,शांतियों,शांतियों
nerolac,नेरोलेक,नेरोलैक
chauka,चौका,चौका
siddhalingaa,सिद्दालिंगा,सिद्धिलंगा
bharatnatyam,भरतनाट्यम्,भारतनात्मे
javabah,जवाबः,जवाबाह
dushwariyon,दुश्वारियों,दुश्वरियों
manchiy,मंचीय,मांची
jiyo,जीयो,जियो
sapramaan,सप्रमाण,सप्रमाण
sim,सीम,
peeechdablyooseees,पीएचडब्ल्यूसीएस,पीडकडाब्लीस
bahav,बहाव,बह
tik,टिक,टिक
agavai,अगवाई,अगवाई
higman,हाइमन,हिगमैन
qiwi,क्यूआईडब्ल्यूआई,किवी
agyat,अज्ञात,अज्ञत
agende,एजेंडे,अजेंडे
lynchburg,लिंचबर्ग,लिंचबर्ग
maangeena,मांगीना,माँगीना
khatakhataaegee,खटखटाएगी,खटखाटागाई
jodhikaa,जोधिका,जोधिका
srujanvigyaani,सृजनविज्ञानी,स्राजनविज्ञानी
detasan,डेटसन,डीटेसन
badalwa,बदलवा,बड़लवा
urf,उर्फ,यूआरएफ
chhaapemaar,छापेमार,छापेमार
lux,लक्स,लूक्स
bhopal,भोपाल,भोपाल
phalibhoot,फलीभूत,फालभूत
paithelaujist,पैथेलॉजिस्ट,पैथेलाजिस्ट
paryaptta,पर्याप्तता,पर्यात्स्ता
furti,फूर्ति,फ़्यूट
mrutyuniwaarak,मृत्युनिवारक,मृत्यूनिवारुदाचार
maruti,मारुति,मरूती
uthaakar,उठाकर,उठाकर
alo,एएलओ,एएलओए
pegaw,पेगव,पेगाव
pilibhit,पीलीभीत,पिलिभित
somi,सोमी,सोमी
sanchalnon,संचालनों,संचलनों
kanchipuram,कांचीपुरम,कांचीपुरम
daraatee,डराती,दराती
yaddasht,याद्दाश्त,यद्धश्त
sabudana,साबुदाना,सबुदाना
welding,वेल्डिंग,वेल्डिंग
veronica,वेरोनिका,वेरोनिका
stimberwala,स्टिम्बेरवाला,स्टिम्क्रेवाला
mayajaal,मायाजाल,मायाजल
pes,पेस,पेस
atul,अतुल,अतूल
outomaitically,औटोमैटिकली,ऑयूटेमाक्टली
jaanchana,जांचना,जांचना
mithilanchal,मिथिलांचल,मिथिलांचल
phiksingah,फिक्सिंगः,फिकसिंघा
sajetee,सजेती,सजेती
plano,प्लानो,प्लानो
visangatiyaa,विसंगतिया,विसंगताया
khhomche,खोमचे,खोमचे
lagna,लगना,लग्ना
mukeshwari,मुकेश्वरी,मुकेश्वरी
tasvaaron,तस्वारों,तस्वरों
dev,देव,देव
vesh,वेश,वेष
jyothy,ज्योथी,ज्योथी
landal,लेंडल,लांडल
viraangnaaon,वीरांगनाओं,विरांगनों
yanit,यनित,याइन्ट
purnia,पूर्णिया,पुर्निया
chauk,चौक,चौक
ladeen,लड़ीं,लादीन
chest,चेस्ट,चेस्ट
kasega,कसेगा,कसेगा
abut,एबट,अबूत
renuka,रेनुका,रेणुका
loowe,लूवे,लूए
gulaabaag,गुलाबाग,गुलाबाग
lajjalu,लज्जालु,लज्जालू
sabhaar,साभार,सभार
gairarashtravaadee,गैरराष्ट्रवादी,गैराराश्वतर्वादासे
dhaavakon,धावकों,धावकों
lim,लिम,ल
vidhaaein,विद्याएं,विधाएँ
svayamsveekrat,स्वयंस्वीकृत,स्वयंमीक्रस्त
electrotex,इलेक्ट्रोटेक्स,इलेक्ट्रेक्ट
ramraj,रामराज,रामराज
janbhavna,जनभावना,जनभवाणा
yauniktaa,यौनिकता,यौनिकता
haathe,हाथे,हाथे
dune,दूने,दुने
protects,प्रोटेक्ट्स,प्रॉटेक्स
vareinye,वरेण्य,वरिण्ये
mazboori,मज़बूरी,मज़ूबोरी
praveenchand,प्रवीनचंद,प्रवीचन्द्न
vaigyanik,वैज्ञानिक,वैज्ञानिक
torrent,टोरेंट,टॉरेन्ट
aatmayen,आत्माएं,आत्मायें
samprati,संप्रति,संप्रति
matthe,मत्थे,मैथ
savita,सविता,सविता
atlantic,अटलांटिक,एटलैंटिक
jalgti,जलगति,जलग्ति
chacchaa,चच्चा,चच्चा
afreen,आफरीन,अफरीन
bazaru,बाजारू,बज़रू
chauki,चौकी,चौकी
pharse,फरसे,फार्से
tuning,ट्यूनिंग,टनिग
nodaraanee,नोडरानी,नोडरानी
maum,मौम,मौम
vidhaanee,विधाणी,विधानी
gujar,गुजार,गुजर
pakadkar,पकडकर,पकड़कर
aankhen,ऑंखें,आँखें
aapka,आपका,आपका
warner,वार्नर,वारनर
anvaharya,अन्वाहार्य,अन्वहर्य
likhehain,लिखेहैं,लिखेहैं
paathyakram,पाठ्यक्रम,पाठ्यक्रम
shavkon,शावकों,शवकों
yarooshaleim,यरूशलेम,यरूषलम
mandalaayukto,मण्डलायुक्तो,मण्डलयुक्त
naino,नैनो,नैनो
jhaaiyaan,झाइयां,झाईयाँ
simferopol,सिम्फरपोल,सिम्फरपोल
dhamm,धम्म,धम
nikharegaa,निखरेगा,निखारेगा
ghumaan,घुमाण,घुमान
hounga,होऊंगा,हौंगा
dhakal,ढकाल,धकल
sagarika,सागरिका,सागरिका
bernard,बर्नार्ड,बर्नर्ड
yogabal,योगबल,योगाबल
breweries,ब्रेवरीज,ब्रीवरीस
dish,डिश,दिश
aithan,ऐठन,एथान
vartamaan,वर्तमान,वर्तमान
tremasik,त्रैमासिक,त्रेमाकिक
tasvire,तस्वीरे,तसवीर
vyvhargat,व्यवहारगत,वीहावरग्त
maratha,मराठा,मराठा
banvaa,बनवा,बनवा
svarnika,स्वर्णिका,स्वरनिका
prasath,प्रसाथ,प्रसथ
overall,ओवरऑल,ओवरलैल
purwafalguni,पूर्वाफाल्गुनी,पुर्वाफलूनी
properphasebook,प्रॉपरफेसबुक,प्रोपरफ़्कोप
suven,सुवेन,सुवें
sapate,सपाटे,सपते
jh,झ,झे
karghe,करघे,कार्घे
deshkaal,देशकाल,देशकाल
nathdwara,नाथवाड़ा,नथद्रवारा
thanvi,थानवी,ठानवी
oran,ओरण,ओओरन
serrano,सेरानो,सेरानो
ear,इअर,एआर
submission,सबमिशन,सबमिशन
dharak,धारक,धरक
tadad,तदाद,तदाद
greenwood,ग्रीनवुड,ग्रीनवुड
haute,हाउते,हौटे
behuria,बहुरिया,बेहुरिया
niyantaaon,नियंताओं,नियांताओं
churu,चूरू,चूरू
missouri,मिसौरी,मिस्सूरी
anyaya,अन्याय,अन्याया
generat,जेनरेट,जेनरेट
nyutest,न्यूटेस्ट,न्यूटेस
garud,गरुड़,गारूड
swaastikakaar,स्वास्तिकाकार,स्वास्तिकारक
shaie,शैइ,शै
siddhantavaadiyon,सिद्धांतवादियों,सिद्धान्तदायों
anawashyak,अनावश्यक,अनाश्वयक
seaten,सीटें,सीटेन
gulshan,गुलशन,गुलशान
riya,रिया,रिया
firmian,फर्मिऑन,फ़िर्मियां
tyre,टायर,टायर
chi,ची,ची
badlapur,बदलापुर,बडलपुर
yuddhanaukaa,युद्धनौका,युद्धानुका
nbcc,एनबीसीसी,एनबीसी
shreeganganagarvaasiyon,श्रीगंगानगरवासियों,श्रीगणगावरों
udaa,उदा,उदा
cambridge,कैंब्रिज,कैम्ब्रिड
airway,एयरवे,एयरवी
idol,आइडल,आईडीएल
calumet,कैल्यूमेट,कैलुमेट
aajmaanaa,आजमाना,आजमाना
tantrikao,तंत्रिकाओं,तंत्रिकाओ
jonesboro,जोन्सबोरो,जोनेब्रोबोर
buddhijeewon,बुद्धिजीवों,बुद्धिजेवों
klozup,क्लोज़अप,क्लोज
nmdc,एनएमडीसी,एनएमडीसी
raashtrapit,राष्ट्रपित,राष्ट्रिप
kamarhati,कमारहाटी,कमरहटी
asphault,एस्फाल्ट,एसफॉल्ट
fransisko,फ्रांसिस्को,फ्रांसिको
bhalla,भल्ला,भल्ला
maulvidon,मौलवियों,मौलविदों
narwar,नरवर,नारवार
lahlahati,लहलहाती,लहलाहटी
byaawa,ब्यावर,ब्यावा
ghataaegi,घटाएगी,घटागै
naamajadagee,नामजदगी,नामजादेगी
takah,तकः,तकह
sevagram,सेवाग्राम,सेवाग्राम
laamiyan,लामियां,लामियां
gin,जिन,गिन
swechha,स्वेच्छा,स्वेच्छा
antadiyaan,अंतडियां,अंतादियां
arya,आर्यो,आर्य
polishing,पॉलिशिंग,पोलिशिंग
jokhimabharaa,जोखिमभरा,जोखीमाभरा
umadatee,उमड़ती,उमादती
tantra,तंत्र,टैन्ट्रा
samoa,सामोआ,समो
csi,सीएसआई,सीएसआई
mandya,मांड्या,मण्ड्या
lawrie,लॉरी,लावरी
pahante,पहनते,पहंटे
ankor,अंकोर,अंकोर
nimnavat,निम्नवत्,निमनावत
rapping,रैपिंग,रपिंग
roopesh,रुपेश,रूपेश
pratibaddhata,प्रतिबद्धाता,प्रतिबद्धता
nadep,नाडेप,नदेप
sailaaneepan,सैलानीपन,सैलानीपन
menrajya,मेंराज्य,मेनराज्य
daav,दाव,दाव
aaboorod,आबूरोड,आबोरोड
pathyakramon,पाठ्यक्रमों,पथ्यकर्मों
nividaataaon,निविदाताओं,निविदाताओं
gandhipura,गांधीपुरा,गांधीपुरा
phwcs,पीएचडब्ल्यूसीएस,फीवीसी
narayangadh,नारायणगढ़,नरयंगाद
jaylalita,जयललिता,जैलाइटा
susanskrut,सुसंस्कृत,सुसंक्रस्त
masood,मसूद,मसूद
woonsocket,वुनसोकेट,वांसकॉट
sanskrutiyan,संस्कृतियां,संस्क्रतियां
urff,उर्फ,यूआरएफएस
theratipally,थेराटीपल्ली,थेरेटिपली
pratinirdesh,प्रतिनिर्देश,प्रतिनिर्देश
ulhaaspur,उल्हासपुर,उलहासपुर
pahanate,पहनते,पहानते
dhawakon,धावकों,धवकों
bhagedh,भगेड़,भागेध
pransangali,प्राणसंगली,प्रांसगली
jalvayu,जलवायु,जलवायू
bhijvaai,भिजवाई,भिजवाई
sayra,सायरा,सायरा
krendron,क्रेन्द्रों,क्रेन्द्रों
maujud,मौजुद,मौज्द
siddhaant,सिद्घांत,सिद्धान्त
kamyuniketars,कम्युनिकेटर्स,कम्यूनिक्रेश्वरत
chidchidapan,चिड़चिड़ापन,चिडचिपादापन
muthoot,मुथूट,मुथूत
wiwekadhikaron,विवेकाधिकारों,विवेकाधाकार्सों
maloun,मलौन,मलून
cincinnati,सिनसिनाटी,सिंसिनेट
registan,रेगिस्तान,रिजिस्टन
parosne,परोसने,पारोसन
vichaarakon,विचारकों,विचारकों
janbhawna,जनभावना,जनभवाणा
andaman,अंडमान,अन्दमन
badyal,बडयाल,बद्यल
morepen,मोरपेन,मोरेपन
beard,बियर्ड,बीर्ड
nodarani,नोडरानी,नोडारानी
dikhayee,दिखायेे,दिखाये
chink,छींक,चिनक
wyakhyatmakta,व्याख्यात्मकता,व्याख्यात्मकता
shaishav,शैशव,शैशव
aainthoo,आइंथू,आइंथू
ahemdabadah,अहमदाबादः,अहेदमदाह
jaayke,जायके,जाक्के
cigniti,सिग्निटी,सिग्निटी
kurukshetra,कुरुक्षेत्र,कुरुक्षेत्र
pravritteeyon,प्रवृत्तीयों,प्रवृत्तियों
charcha,चर्चा,चारचा
lakshmeechandra,लक्ष्मीचन्द्र,लक्ष्मीचन्द्र
hammond,हैमंड,हमोंड
nibhaegi,निभाएगी,निभागी
dhunai,धुनाई,धुनई
janbhaavna,जनभावना,जनभावना
cant,कांट,केएनटी
melaghaat,मेलघाट,मेलाघाट
mue,मुऐ,मुए
shwing,श्विंग,श्विंग
dampatya,दांपत्य,दामपट्टाया
kpada,कपड़ा,केपीडीए
santati,संतति,संतती
maanavtarhit,मानवटरहित,मानवतर्थ
anuprayogi,अनुप्रयोगों,अनुप्रयोगी
harvey,हार्वे,हरवे
kaju,काजू,कजू
cerritos,सेररितोस,सेरिटोस
texmaco,टेक्समैको,टेक्सकोम
sanchar,संचार,संचार
tuth,ट्रुथ,तूथ
lozano,लोज़ानों,लोजनो
ropaney,रोपने,रोपनी
hollywood,हॉलीवुड,हॉलीवुड
chhinke,छींके,छिंके
dhamma,धम्मा,धम्मा
technoplast,टेक्नोप्लास्ट,टेक्नोप्लास्ट
pujapath,पूजापाठ,पूजपथ
chanan,चानन,चन
shrankhalaaon,श्रंखलाओं,श्रंखलाओं
chhednaa,छेड़ना,छेडना
carbogen,कार्बोजेन,कारबोजन
vyavadhan,व्यवधान,व्यवधान
schultz,शुल्ट्ज,श्ट्लज
istrailiyon,इस्त्राइलियों,इस्ट्रैलियों
squash,स्क्वाश,स्क्सह
danville,डैनविल,दानविले
prana,प्राना,प्राण
thaakurvaadee,ठाकुरवादी,थाकुरवाडी
prayogshaastra,प्रयोगशास्त्र,प्रयोगशस्त्र
wyakteeyon,व्यक्तीयों,व्यक्तियों
metrologist,मैट्रोलॉजिस्ट,मेट्रोलॉजिस्ट
madhura,मढ़ौरा,मधुरा
paliyon,पालियों,पालियों
denver,डेनवर,डेनवर
apj,एपीजे,एपज
beni,बैनी,बेनी
pratisthaan,प्रतिस्थान,प्रतिश्शन
bhrashtaachaariyon,भ्रष्टाचारीयों,भ्रष्टाचार्यों
lakeer,लकीर,लकीर
sudhaargrah,सुधारगृह,सुधार्ग्रह
sandali,संदली,संदली
jagriti,जागृति,जागृति
talwar,तलवार,तलवार
janashiksha,जनशिक्षा,जनाशिक्षा
tapuwo,टापुओं,तपुवो
bulletin,बुलेटिन,बलेशन
ballebaajee,बल्लेबाज़ी,बल्लेबाजी
maadheekhedhaa,माड़ीखेड़ा,माधीखेड़ा
arthshaastriyon,अर्थशास्त्रीयों,अर्थशास्त्रयी
scaining,स्कैनिंग,स्कैनिंग
mehman,मेहमान,मेहमैन
rahegi,रहेगी,रहेगी
jamshedpur,जमशेदपुर,जमशेदपुर
tyauharon,त्यौहारों,त्याहौरों
darshaana,दर्शाना,दरशाना
beechbachaav,बीचबचाव,बीचबचा
sulati,सुलाती,सुलती
varshan,वर्शन,वर्षण
sudhaaratee,सुधारती,सुधारती
wasaamukt,वसामुक्त,वासमुक्त
patil,पाटिल,पैटिल
jewaab,जेवाब,जेवाब
soto,सोटो,सोतो
dhtuen,धातुएं,ध्तून
dose,डोसे,डोसे
bhaagadaud,भागदौड,भागड़ूद
pagabadha,पगबाधा,पगाबाधा
arushi,आरुषि,अरूशी
agusta,अगस्ता,अगुस्ता
titan,टाइटन,टीटीए
equities,इक्विटीज,इक्विटिज
airtel,एयरटेल,एयरटेल
alaps,ऐल्प्स,एलीप्स
naksali,नक्सली,नकसली
achivement,अचीवमेंट,अचिवमेंट
galaega,गलाएगा,गलागा
foodon,फूडॉन,फूडों
rajnichi,राजनीचि,राजनीची
arya,आर्य,आर्य
streamwood,स्ट्रीमवुड,स्ट्रीम्यूड
ghot,घोट,घोट
music,म्यूजिक,यूएससी
purkayastha,पुरकायस्थ,पुर्कायस्थाता
nora,नोरा,नोरा
tonic,टॉनिक,टियों
gujaarne,गुजारने,गुजरने
water,वाटर,वाटर
sunsaan,सूनसान,सुनसन
sirsa,सिरसा,सिरसा
tangirala,टेंगीरला,तंगीराला
hanson,हेनसन,हैन्स
varun,वरुण,वरून
dreijer,ड्रेजर,ड्रेजर
doudaate,दौड़ाते,दौड़ते
sharabon,शराबों,शरबों
vyakteeyon,व्यक्तीयों,व्यक्तियों
saatseraa,सातसेरा,सातसेरा
darjano,दर्जनों,दर्जनो
agniyaan,अग्नियां,अग्निया
dhonaa,धोना,धोना
karyakartriyon,कार्यकर्त्रियों,कार्यकर्तियों
awasthaen,अवस्थाएं,अवस्थाएँ
himamaanav,हिममानव,हिमामानवा
two,टु,टीएवीओ
ail,ऐल,एल
bandhuon,बंधुओं,बन्धुओं
shraddhavanon,श्रद्धावानों,श्रध्वानों
mariyo,मारियो,मरियो
vyaghat,व्याघात,व्याघाट
michael,माईकल,मिचल
adrgh,अद्र्घ,अद्रघ
vitthal,विट्ठल,विठ्ठल
prarup,प्रारूप,प्रूप
dhoondhti,ढूंढती,धूंधी
dubana,डुबाना,दुबाना
ladne,लडने,लाडन
form,फार्म,फ़ोर
zuari,जुवारी,ज़ूरी
pariwarwale,परिवारवाले,परिवरवाले
peranormal,पैरानॉर्मल,पेरानोम्रल
bhuvneshvaprasad,भुवनेश्वप्रसाद,भुवनेश्वरप्सव
iris,आईरिस,आईआईएस
pratigyapoorn,प्रतिज्ञापूर्ण,प्रतिग्पर्यून
lebalon,लेबलों,लेबलों
shreekrushnan,श्रीकृष्णन,श्रीकुर्षण
snikarse,स्नीकर्स,स्काइकर्स
kain,कईं,कैन
bhooswaami,भूस्वामी,भूसवामी
karta,कटरा,कार्टा
anyay,अन्याय,अन्यय
nokari,नोकरी,नोकरी
precision,प्रिसिशन,प्रिसिएशन
chrom,क्रोम,कोरम
jue,जुए,जूए
bowling,बोलिंग,बोवॉलिंग
taapti,ताप्ती,तापति
catholicon,कैथोलिकों,कैथोलिकन
nazarandaz,नजरंदाज,नाजारांजादास
mulchand,मूलचंद,मुलचंद
sweccha,स्वेच्छा,स्वेच्छा
nanyaulaa,नन्यौला,नायुआला
ghontana,घोंटना,घोंटना
advaitwad,अद्वैतवाद,एडवैटवैल्व
underwood,अंडरवुड,अनडर्वस
lubhaavna,लुभावना,लुभावना
petroselee,पेट्रोसेली,पेट्रोसेली
amdi,आमदी,एमडीआई
ropane,रोपने,रोपने
daisy,डेजी,डैसी
jababee,जबाबी,जबाबी
cup,कप,कूप
phaade,फाड़े,फाड़े
ulahna,उलाहना,उलहना
unnatiyon,उन्नतियों,उन्नतियों
